label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,exp005_free_25,exp005_free_26,exp005_free_27,exp005_free_28,exp005_free_29,exp005_free_30,exp005_free_31,exp005_free_32,exp005_free_33,exp005_free_34,exp005_free_35,exp005_free_36,exp005_free_blank1,exp005_free_blank2
,75,75,5,184.073380,14.276,0.685736,[M+H]+,C12 PARENT,Phosphorylcholine,Phosphorylcholine,C5H14NO4P,0.013420,0.331581,184.073380,82326.74,128959.34,72537.75,120977.15,125536.73,92904.16,103229.53,130168.90,90063.32,127893.44,85305.68,110495.88,1886.66,2041.75
,76,76,12,204.122696,11.330,0.831521,[M+H]+,C12 PARENT,acetyl carnitine,acetyl carnitine,C9H17NO4,0.100858,1.644564,204.122696,133825408.00,148322496.00,148050560.00,184614976.00,139266592.00,188617488.00,94468376.00,104687328.00,107036248.00,107078432.00,71859232.00,120145592.00,915.38,773.44
,76,85,7,205.128540,11.335,0.830085,,D2-label-1,acetyl carnitine,acetyl carnitine,C9H17NO4,0.106168,3.793696,204.122696,324549.22,602656.94,544051.06,349449.91,295464.25,215719.11,271184.34,329113.34,431555.12,299415.03,378553.09,462711.09,0.00,0.00
,76,84,11,206.135361,11.342,0.836851,,D2-label-2,acetyl carnitine,acetyl carnitine,C9H17NO4,0.113477,1.110346,204.122696,27751.32,28007.04,25515.93,37410.25,18649.45,30849.88,11040.84,18514.52,15561.61,18181.42,8434.95,14745.69,0.00,84.87
,76,78,12,206.127228,11.308,0.840230,,O18-label-1,acetyl carnitine,acetyl carnitine,C9H17NO4,0.078713,0.296104,204.122696,2718645.50,3294160.75,2940304.00,3913213.00,2796740.00,3976194.75,1688572.88,1933451.00,1865083.50,1874683.38,1197971.88,2028436.38,376.58,93.55
,76,79,7,208.132034,11.332,0.819838,,O18-label-2,acetyl carnitine,acetyl carnitine,C9H17NO4,0.103200,2.419336,204.122696,12260.32,15366.93,14799.48,16694.43,8685.60,22219.91,7509.15,9013.47,10605.12,10608.14,4446.41,8035.41,591.49,123.18
,86,86,11,218.138657,9.841,0.836359,[M+H]+,C12 PARENT,Propionyl carnitine C3,Propionyl carnitine C3,C10H19NO4,0.030770,0.139900,218.138657,2772313.75,2029897.38,2365047.25,1247918.25,2063288.00,1611122.38,3413331.00,2671043.25,2382642.75,2639330.00,1638089.00,2633560.75,141.51,202.02
,86,93,1,219.144791,9.853,0.834641,,D2-label-1,Propionyl carnitine C3,Propionyl carnitine C3,C10H19NO4,0.018628,0.765916,218.138657,61442.58,39771.69,31183.89,13086.57,16291.90,13759.17,51466.41,44469.38,20509.53,26861.97,7393.27,23770.96,0.00,0.00
,86,92,5,220.143005,9.844,0.835552,,O18-label-1,Propionyl carnitine C3,Propionyl carnitine C3,C10H19NO4,0.028433,0.346566,218.138657,12861.37,10225.49,8175.60,5067.84,8273.37,4239.73,21334.33,13019.06,9175.67,9640.69,4078.19,10358.91,0.00,122.00
,94,94,0,227.113785,13.990,0.112734,[M+H]+,C12 PARENT,Carnosine,Carnosine,C9H14N4O3,0.040612,0.335928,227.113785,144615.89,134171.27,355155.72,390407.66,373350.91,491036.59,41306.02,93892.25,321329.25,338425.41,237786.52,565093.94,446.31,139.52
,94,95,0,228.120514,13.984,0.067544,,D2-label-1,Carnosine,Carnosine,C9H14N4O3,0.046640,1.605342,227.113785,68.30,111.15,263.27,126.87,348.72,433.73,291.27,314.36,1485.47,896.45,923.09,1651.18,82.51,89.19
,94,97,0,229.118195,13.994,0.073442,,O18-label-1,Carnosine,Carnosine,C9H14N4O3,0.037492,0.332990,227.113785,42651.61,15782.24,35255.85,35167.61,30448.41,27532.59,25679.89,10937.41,22267.88,26196.52,8466.26,38445.56,474.34,282.11
,99,99,5,228.098740,8.155,0.832583,[M+H]+,C12 PARENT,Deoxycytidine,Deoxycytidine,C9H13N3O4,0.120277,3.746165,228.098740,102120.00,125064.53,154419.31,187800.92,179333.44,172207.03,97695.97,112526.41,125813.13,67505.09,61726.10,177600.62,161.46,116.57
,99,100,1,229.103271,8.143,0.816667,,D2-label-1,Deoxycytidine,Deoxycytidine,C9H13N3O4,0.132229,3.862915,228.098740,1956.30,2542.32,1126.15,3440.67,1970.71,3903.12,1798.16,1916.88,2117.70,553.00,533.34,3200.23,137.27,152.44
