label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,841_F,841_R,842_F,842_R,843_F,843_R,844_F,844_R,845_F,845_R,846_F,846_R,847_F,848_F,848_R,849_F,850_F,851_F,blank
,7,17,3,117.068176,11.288,0.655009,,N15-label-1,L-Valine,L-Valine,C5H11NO2,0.278,4.757426,116.071083,67625.04,57419.12,76140.66,75923.01,47259.07,43545.05,39900.84,26253.26,26583.63,17508.16,42045.57,52879.82,11773.16,45303.47,91103.37,8035.03,5649.67,11325.80,1218.01
,18,18,7,239.015472,14.156,0.636280,[M-H]-,C12 PARENT,L-Cystine,L-Cystine,C6H12N2O4S2,0.356,4.596471,239.015472,113719.94,116565.73,150879.89,175084.50,64606.19,68335.98,85408.12,68229.16,104628.09,91542.53,94850.71,100909.56,177340.83,240048.05,230266.67,148576.61,127323.09,135688.45,3544.88
,18,19,0,240.018906,14.147,0.476138,,C13-label-1,L-Cystine,L-Cystine,C6H12N2O4S2,0.347,4.259392,239.015472,6287.44,5978.74,8132.66,10142.16,3684.58,3451.52,4252.33,3410.46,5014.70,3407.02,4969.25,6529.06,10556.92,14090.49,11533.52,6733.43,7396.41,7264.03,0.00
,18,20,0,242.014740,14.222,0.076886,,C13N15-label-1-2,L-Cystine,L-Cystine,C6H12N2O4S2,0.422,3.089411,239.015472,286.62,451.85,541.20,343.50,401.96,0.00,0.00,0.00,0.00,0.00,0.00,410.62,508.27,1128.08,1278.01,0.00,360.24,611.17,0.00
,18,21,0,242.019409,14.153,0.060685,,C13N15-label-2-1,L-Cystine,L-Cystine,C6H12N2O4S2,0.353,3.782853,239.015472,507.76,0.00,0.00,1673.47,0.00,0.00,570.90,0.00,0.00,0.00,433.86,0.00,0.00,1289.23,2550.36,0.00,0.00,0.00,0.00
,18,22,0,243.022949,14.144,0.292013,,C13N15-label-3-1,L-Cystine,L-Cystine,C6H12N2O4S2,0.344,2.951001,239.015472,36382.85,20200.47,42322.88,39474.97,20279.13,20649.57,23677.67,11227.53,2082.88,1884.28,22940.65,21098.26,1814.54,73709.77,87697.99,2263.49,586.72,676.06,773.94
,18,23,0,246.026489,14.166,0.122136,,C13N15-label-5-2,L-Cystine,L-Cystine,C6H12N2O4S2,0.366,3.783262,239.015472,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1712.63,1647.10,0.00,0.00,0.00,0.00
,18,24,0,246.032700,14.208,0.050359,,C13N15-label-6-1,L-Cystine,L-Cystine,C6H12N2O4S2,0.408,4.217299,239.015472,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,346.37,0.00,0.00,0.00,0.00
,18,25,0,247.029678,14.191,0.343872,,C13N15-label-6-2,L-Cystine,L-Cystine,C6H12N2O4S2,0.391,4.447352,239.015472,5360.73,1204.22,8198.80,4397.39,2015.95,3345.26,4318.11,541.19,0.00,0.00,3181.25,3018.87,0.00,25727.87,25434.63,636.72,0.00,0.00,263.69
,18,26,0,240.014816,14.136,0.447935,,N15-label-1,L-Cystine,L-Cystine,C6H12N2O4S2,0.336,5.022400,239.015472,589.40,1265.72,2432.95,1692.21,1044.04,397.61,1211.87,430.65,567.47,868.45,735.09,688.34,2566.82,2473.24,3082.91,1904.65,1422.18,2802.96,0.00
,18,27,0,241.011124,14.131,0.296813,,N15-label-2,L-Cystine,L-Cystine,C6H12N2O4S2,0.331,1.962662,239.015472,9116.93,10580.44,15284.77,13083.09,6151.60,5409.97,7128.45,5895.02,9339.09,6637.85,8919.61,7856.75,14870.64,18165.42,19729.69,10795.83,8765.68,9932.78,2946.20
,28,28,14,163.060516,8.876,0.741771,[M-H]-,C12 PARENT,"1,5-Anhydroglucitol","1,5-Anhydroglucitol",C6H12O5,0.194,4.210968,163.060516,1048913.12,1144985.88,1805704.62,1913192.62,744159.19,820528.06,392568.41,374835.72,589892.50,550351.00,354513.12,413654.66,1835001.00,2061206.62,2133072.75,2620730.75,1923792.88,378904.03,16651.10
,28,29,3,164.064163,8.877,0.741516,,C13-label-1,"1,5-Anhydroglucitol","1,5-Anhydroglucitol",C6H12O5,0.193,2.325120,163.060516,59604.12,73043.52,116775.79,124778.81,49994.28,53098.98,23166.66,23024.11,37065.59,37976.41,21553.07,26820.62,119898.59,132471.34,139444.67,166168.58,127455.56,23922.52,1627.25
,28,30,0,167.073853,8.869,0.094843,,C13-label-4,"1,5-Anhydroglucitol","1,5-Anhydroglucitol",C6H12O5,0.201,4.566460,163.060516,0.00,471.71,0.00,523.70,391.00,353.08,0.00,0.00,0.00,0.00,0.00,429.92,0.00,366.61,577.51,0.00,0.00,0.00,0.00
,28,31,0,168.077255,8.876,0.182939,,C13-label-5,"1,5-Anhydroglucitol","1,5-Anhydroglucitol",C6H12O5,0.194,4.266848,163.060516,19181.41,35245.39,19156.28,38744.75,19548.21,31835.26,20551.71,30682.59,4779.96,7675.41,20473.14,34790.24,454.95,17344.51,32259.50,827.01,510.65,406.38,721.46
,28,32,10,169.080612,8.868,0.767920,,C13-label-6,"1,5-Anhydroglucitol","1,5-Anhydroglucitol",C6H12O5,0.202,4.241528,163.060516,376484.50,655797.81,368590.50,689723.69,357259.84,618007.69,402729.59,571050.75,98077.62,152331.17,355662.22,685519.81,0.00,332192.34,610298.38,425.49,0.00,0.00,305.24
,33,33,4,160.060837,13.491,0.589760,[M-H]-,C12 PARENT,Aminoadipic acid,Aminoadipic acid,C6H11NO4,0.141,4.385215,160.060837,119988.48,118304.47,128844.16,194561.27,175588.81,82126.47,58374.51,42037.18,99584.03,75245.55,51764.57,59614.62,112625.91,55228.89,51018.62,100141.70,73228.34,51818.42,4134.03
,33,36,3,163.079681,13.509,0.747042,,D2-label-3,Aminoadipic acid,Aminoadipic acid,C6H11NO4,0.159,4.210473,160.060837,9785.93,5576.59,9494.05,6988.60,10463.02,6882.82,10022.86,3980.58,1268.02,1767.86,6501.85,6681.36,1087.64,25904.39,31462.39,0.00,0.00,1831.75,2764.61
